Datum erfasst,Artikel-Nummer,Grafikname(n),Artikelbeschreibung,Auf_Lager,Verkaufspreis,Kurzbeschreibung,Langtext,Hersteller,Länge(mm),Breite(mm),Höhe(mm),Gewicht(kg),Hauptkategorien_A_(entsprechen_den_Kategorien_im_Shop),Unterkategorien_A_(entsprechen_den_Kategorien_im_Shop),Hauptkategorien_B_(entsprechen_den_Kategorien_im_Shop),Unterkategorien_B_(entsprechen_den_Kategorien_im_Shop),Veröffentlicht_Status,Shopartikel,Artikeltyp,Einheit,itemUUID,BoxID,Location,UpdatedAt
,7000,7000.jpg,Fujitsu Esprimo D756 E90+,1,130,Intel 6500 Core i5 4x3.20 GHz,Intel HD Graphics 530 SM / 8 GB DDR4 / 256 GB SSD,Fujitsu / Fujitsu-Siemens / Siemens,350,90,30,2,,,,,yes,0,part,Stck,080925-7000,,,2025-10-06T21:41:06.641Z
,7001,7001.jpg,HP Compaq 8200 elite CMT i5,1,130,"Intel Core i5 3.30GHz,HD 240GB, RAM 8GB","Hersteller: HP Compaq
Bauform: Convertible Minitower (CMT)
Kerne: 4
Taktfrequenz: 3.3 GHz
Festplatte 1(HD) : 240 GB SDD (Kingston)
Optisches Laufwerk: DVD±RW
Netzwerkkarte: 10/100/1000 Mbit
Schnittstellen vorne: 4x USB 2.0 + Mikrofon + Kopfhörer (Line In+Line out)
Schnittstellen hinten: 6x USB 2.0 + 2x PS/2 + 2x Seriell RS232) + Mikrofon + Kopfhörer (Line In+Line out) + 1x VGA + 1x DisplayPort + LAN (RJ45)
Grafikkarte onboard: Intel HD Graphics
Audio: High Definition Audio
Interner Lautsprecher: Ja
Netzteil: Intern 320 Watt
Farbe: Schwarz / Silber",HP / Compaq,440,180,450,11,,,,,yes,0,part,Stck,080925-7001,,,2025-10-06T21:41:06.641Z
,7002,7002.jpg,HP Compaq D530 CMT,1,0,"1024 RAM, 80 GB HDD, VGA Prozessor (CPU): Intel Pentium 4","Farbe: Schwarz/Silber  Formfaktor: Miditower  / Grafik: Die CPU verfügt über eine integrierte Grafikeinheit / Laufwerk-Schnittstek: IDE / Anschlüsse: USB X4 , PS/ 2 X2, Ethernet(RJ45) X1",HP / Compaq,440,170,450,14.2,,,,,yes,0,part,Stck,080925-7002,,,2025-10-06T21:41:06.641Z
,7003,7003.jpg,HP Pavilion a6000 Serie,1,0,"Intel duo CPU E4400 RAM: 2 GB DDR2 (erweiterbar), 250 GB HDD, VGA, 230 V","Formfaktor – Tower
Optische Speicherung – DVDRW-Laufwerk
Grafikkarte – Integriert
Audioausgabe – Soundkarte – Stereo
Netzwerk – Netzwerkkarte – Ethernet, Fast Ethernet
Anschlüsse – 6 USB-Ports, Kartenleser",HP / Compaq,400,170,390,5,,,,,yes,0,part,Stck,080925-7003,,,2025-10-06T21:41:06.641Z
,7004,7004.jpg,Fujitsu Esprimo P9900 E-STAR5,1,0,"Intel® Core™ i7,  RAM 6GB, 1TB SATA","Maximaler interner Speicher: vom
Prozessor unterstützt 16 GB, Anzahl der Prozessorkerne 4
Prozessor-Threads 8
Max. Turbo-Taktfrequenz des
Prozessor 3,6 GHz
Prozessor-Taktfrequenz * 2,93 GHz
Prozessorsockel LGA 1156 (Socket H)
Processor cache 8 MB
Prozessor Cache Typ Smart, CacheAnzahl der USB 2.0 Ports * 10, Audio-System HD
Audio Kanäle 5.1 Kanäle
Produkttyp * PC",Fujitsu / Fujitsu-Siemens / Siemens,392,203,390,12,,,,,yes,0,part,Stck,080925-7004,,,2025-10-06T21:41:06.641Z
,7005,7005.jpg,HP Z400,1,0,"Xeon 3.33GHz, 16GB RAM, 160GB SSD","LaufwerkDVD-Brenner, Max.Arbeitsspeichergrösse: 24 GB, 
Controller-Typ: SATA-Controller, 
Ethernet LAN
Gigabit Ethernet (1000 Mbit/s)
Weitere Kommunikationsmerkmale
PXE-Unterstützung Wake on LAN, 
Audio-Chipsatz: Realtek ALC262, Weitere Audiomerkmale
High Definition Audio
Lautsprecher: Ja 
USB 2.0 (frontseitig): 2
Kopfhörer (frontseitig): 1
Mikrofon (frontseitig): 1
USB 2.0: 6
Ethernet (RJ-45): 1",HP / Compaq,455,170,450,13.5,,,,,yes,0,part,Stck,080925-7005,,,2025-10-06T21:41:06.641Z
,7006,7006.jpg,HP Z800 Workstation,2,0,"Formfaktor: Tower, Prozessor: Intel Xeon, Arbeitsspeicher: 24 GB, Gesamtkapazität: 1 TB","Material: Aluminium, Formfaktor: Tower, Installierte CPU: 1, Max. unterstützt: 2, Kommunikation: Netzwerk Dual Gigabit Ethernet
Wake on LAN: Ja PXE support, USB 2.0: 6, Ethernet (RJ45): 2
Besonderheiten (KommSchnittstellen
SATA2
6
SAS
8
PCI
1
,",HP / Compaq,530,190,45,13.5,,,,,yes,0,part,Stck,080925-7006,,,2025-10-06T21:41:06.641Z
,7007,7007.jpg,Fujitsu Esprimo E900 E90+,1,0,"5 2400 3.1GHz, 4GB, 500GB HDD, DVI, Displayport","Formfaktor:  Small Form Factor (SFF), 
Gehäusefarbe: Schwarz, USB 2.0 (frontseitig) 4,  Schnittstellen (intern)
SATA II (3 Gbit/s)
4
SATA III (6 Gbit/s)
2
PCI 32 Bit (Low Profile)
1
PCI Express x1 (Low Profile)
1
PCI Express x4 (Low Profile)
1
PCI Express x16 (Low Profile)
1",HP / Compaq,380,340,100,10,,,,,yes,0,part,Stck,080925-7007,,,2025-10-06T21:41:06.641Z
,7008,7008.jpg,Terra PC  1300062,2,0,"Intel Core i3-6100 2 70GHz 8GB 256GB SSD, HDM, VGA, DVI,","Optisches - LaufwerkDVD-Brenner DL, Laufwerk-Schnittstel: SATA, Chipsatz (Audio): Realtek ALC888, Kompatibiltät: 5.1, USB 2.0
6",TerraTec,420,180,440,0,,,,,yes,0,part,Stck,080925-7008,,,2025-10-06T21:41:06.641Z
,7009,7009.png,Acer Aspire M5811,1,0,Leeres Gehäuse,Einer Kartenleser.,Acer,420,18,380,2,,,,,yes,0,part,Stck,080925-7009,,,2025-10-06T21:41:06.641Z
,7010,7010.png,Vipero (Asus P5G41C-M,1,0,"Core (TM) 2 CPU Q93008RAM,256 HDD, VGA,HDMI",,Asus,480,200,430,10,,,,,yes,0,part,Stck,080925-7010,,,2025-10-06T21:41:06.641Z
